"","txsize","txvirtualsize","txinputs_count","txoutputs_count","txinput_val","txoutput_val","txfee","Min_received","Max_received","Avg_received","Total_received","Stdev_received","Var_received","Min_sent","Max_sent","Avg_sent","Total_sent","Stdev_sent","Var_sent"
"115",403,403,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"116",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"117",403,403,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"118",403,403,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"119",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"120",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"121",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"122",405,405,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"123",405,405,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"124",224,224,1,1,1e+06,1e+06,0,0.01,0.01,0.01,0.02,0,0,0.01,0.01,0.01,0.02,0,0
"125",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"126",403,403,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"127",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"128",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"129",404,404,2,1,2e+06,2e+06,0,0.02,0.02,0.02,0.04,0,0,0.01,0.01,0.01,0.04,0,0
"130",225,225,1,1,1e+06,1e+06,0,0.01,0.01,0.01,0.02,0,0,0.01,0.01,0.01,0.02,0,0
"131",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"132",223,223,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
"133",224,224,1,1,3e+07,3e+07,0,0.3,0.3,0.3,0.3,0,0,0.3,0.3,0.3,0.3,0,0
